DateTime,Entries,UniqueIPs
1580310833,20507,35099
1580312409,20509,35102
1580314346,20515,35107
1580314443,20500,35097
1580315283,20530,35128
1580316250,20514,35112
1580318173,20395,34992
1580319012,20395,35247
1580319734,20319,35169
1580320100,20312,35162
1580321643,20348,35199
1580322005,20345,35196
1580322903,20321,35175
1580323926,20320,35174
1580324486,20328,35184
1580325869,20321,35177
1580327111,20370,35481
1580327768,20335,35444
1580328843,20367,35475
1580329683,20370,35478
1580330524,20318,35427
1580331616,20322,35431
1580332443,20357,35467
1580333532,20395,35507
1580334963,20326,35435
1580335698,20327,35436
1580336042,20320,35428
1580336883,20346,35457
1580337608,20346,35456
1580338572,20316,35427
1580339542,20311,35422
1580341447,20287,35394
1580343616,20457,35569
1580344173,20427,35532
1580345525,20419,35523
1580346603,20338,35441
1580347459,20341,35443
1580347805,19808,34897
1580349365,19811,34900
1580350204,19772,34862
1580351287,19778,34868
1580351403,19722,34814
1580353227,19724,34816
1580354043,19718,34809
1580355131,19712,34803
1580357058,19733,34823
1580358611,19727,35075
1580358978,19702,35050
1580359692,19619,34962
1580361145,19621,34964
1580361559,19574,34911
1580362160,19519,34857
1580363051,19510,34847
1580364974,19499,34837
1580366905,19450,34790
1580367282,19484,34826
1580368827,19477,34819
1580369285,19487,34832
1580370738,19480,34825
1580372663,19395,34738
1580373005,19352,34693
1580374568,19354,34694
1580375642,19347,34686
1580376486,19342,34681
1580377323,19291,34628
1580378425,19292,34629
1580379243,19325,34660
1580380332,19321,34656
1580380440,19298,34636
1580382251,18870,34203
1580382903,18901,34234
1580384179,18896,34229
1580384524,18907,34236
1580386100,19115,34447
1580386202,19145,34479
1580386745,19152,33721
1580388021,19152,33721
1580388962,19187,33758
1580389941,19184,33755
1580390043,19167,33736
1580390883,19209,33779
1580391849,19218,33788
1580392204,19181,33750
1580393773,19180,33749
1580395325,19121,33687
1580395689,19121,33687
1580397243,19148,33714
1580397607,19148,33714
1580398923,19129,33698
1580399526,19125,33694
1580400021,19094,33663
1580401459,19089,33658
1580401812,19090,34424
1580402523,19088,34425
1580403367,19089,34426
1580403616,1078,16160
1580405285,1076,16158
1580406003,19033,34370
1580407466,19027,34364
1580407802,19043,34378
1580409373,19042,34378
1580409723,19031,34368
1580411307,19025,34362
1580411643,19049,34386
1580412483,19082,34420
1580413213,19083,34421
