DateTime,Entries,UniqueIPs
1580124016,1056,1056
1580125330,1050,1050
1580126455,1055,1055
1580128090,1070,1070
1580128952,1074,1074
1580130858,1068,1068
1580131696,1074,1074
1580132863,1075,1075
1580134224,1076,1076
1580135293,1088,1088
1580136978,1092,1092
1580138057,1094,1094
1580138901,1107,1107
1580140209,1106,1106
1580141416,1105,1105
1580142620,1107,1107
1580144114,1118,1118
1580145312,1130,1130
1580146097,1134,1134
1580146942,1132,1132
1580148099,1135,1135
1580149219,1149,1149
1580150415,1150,1150
1580151642,1159,1159
1580152820,1173,1173
1580154316,1174,1174
1580155823,1178,1178
1580157616,1181,1181
1580158577,1189,1189
1580159715,1197,1197
1580160847,1207,1207
1580161336,1204,1204
1580162542,1212,1212
1580164095,1231,1231
1580165775,1245,1245
1580166856,1251,1251
1580167694,1256,1256
1580169316,1252,1252
1580170455,1256,1256
1580172145,1269,1269
1580173449,1280,1280
1580175018,1277,1277
1580175737,1279,1279
1580176574,1285,1285
1580177657,1288,1288
1580178493,1293,1293
1580179338,1285,1285
1580181257,1299,1299
1580182094,1310,1310
1580183777,1328,1328
1580184854,1324,1324
1580186115,1328,1328
1580187639,1328,1328
1580189298,1336,1336
1580190978,1336,1336
1580192054,1339,1339
1580193620,1335,1335
1580195416,1340,1340
1580195656,1343,1343
1580198114,1343,1343
1580199222,1341,1341
1580200934,1330,1330
1580202217,1329,1329
1580203492,1334,1334
1580204718,1329,1329
1580205879,1332,1332
1580207689,1334,1334
1580208919,1341,1341
1580210118,1340,1340
1580210915,1347,1347
1580212575,1353,1353
1580212852,1355,1355
1580214021,1359,1359
1580215132,1353,1353
1580216672,1355,1355
1580217258,1360,1360
1580218515,1360,1360
1580219797,1364,1364
1580220855,1367,1367
1580222419,1380,1380
1580224217,1387,1387
1580226135,1383,1383
1580227404,1389,1389
1580229019,1386,1386
1580229736,1393,1393
1580231424,1406,1406
1580232493,1415,1415
1580233901,1414,1414
1580235016,1423,1423
1580236218,1430,1430
1580237773,1438,1438
1580238857,1438,1438
1580239694,1445,1445
1580240538,1434,1434
1580242453,1438,1438
1580243293,1444,1444
1580244646,1448,1448
1580246058,1463,1463
1580247618,1476,1476
1580248574,1486,1486
1580249717,1495,1495
1580250863,1497,1497
1580252173,1507,1507
1580253289,1513,1513
1580254659,1520,1520
1580256446,1529,1529
1580256855,1533,1533
1580258114,1547,1547
1580259313,1550,1550
1580260455,1555,1555
1580261296,1562,1562
1580262973,1564,1564
1580264054,1572,1572
1580265317,1576,1576
1580266517,1580,1580
1580267718,1582,1582
1580268916,1637,1637
1580270114,1608,1608
