DateTime,AddedIPs,RemovedIPs
1579818010,40,3
1579819950,53,3
1579821860,15,1
1579823768,14,5
1579825692,73,5
1579827673,41,4
1579829565,48,0
1579831702,35,5
1579833611,61,4
1579835551,54,6
1579837476,61,3
1579839375,48,4
1579841293,55,3
1579843212,27,2
1579845125,31,3
1579847053,40,3
1579848970,28,5
1579850898,19,3
1579853803,50,5
1579855691,22,4
1579857612,57,7
1579859555,27,14
1579861452,28,31
1579863379,10,64
1579865285,5,64
1579867237,1,13
1579869139,82,17
1579871305,5,29
1579873257,3,39
1579875136,7,29
1579877098,7,74
1579879000,45,19
1579881156,12,66
1579883053,24,20
1579884999,69,24
1579886895,57,29
1579889776,38,48
1579891695,41,30
1579893627,20,38
1579895528,77,89
1579897473,44,17
1579899371,35,19
1579901291,26,30
1579904191,43,59
1579906125,33,46
1579908013,20,14
1579909948,10,13
1579911851,33,73
1579913786,32,37
1579915689,63,36
1579917674,70,34
1579919534,24,40
1579921705,26,56
1579923613,11,46
1579925537,11,46
1579927465,39,44
1579929373,32,26
1579931308,76,26
1579933211,34,26
1579935128,27,21
1579937064,20,14
1579938969,23,35
1579940891,19,18
1579943790,60,55
1579945720,46,23
1579947609,39,26
1579949533,30,10
1579951467,35,6
1579953391,44,4
1579955288,10,17
1579958171,46,5
1579960107,20,6
1579962006,16,4
1579963939,26,26
1579965864,17,54
1579967769,37,13
1579969690,42,29
1579971663,37,77
1579973545,18,50
1579975714,2,28
1579977610,4,40
1579979542,4,29
1579981463,6,92
1579983376,0,15
1579985293,4,72
1579987221,3,19
1579989128,5,26
1579991059,5,32
1579992981,3,36
1579994887,2,15
1579996852,4,21
1579998736,3,25
1580000900,4,36
1580002810,2,93
1580004744,3,34
1580006652,2,33
1580008580,10,20
1580010503,3,8
1580012421,3,16
1580014331,1,33
1580016264,0,34
1580018169,4,81
1580020090,1,32
1580022971,6,49
1580024907,5,19
1580026811,2,29
1580028726,6,52
1580030661,7,50
1580032569,9,67
1580034509,2,45
1580037371,20,196
1580039302,187,53
1580041210,197,25
1580043127,50,27
1580045061,18,35
1580046969,105,28
1580048884,62,22
1580051771,43,46
1580053690,23,27
1580055638,11,48
1580057528,33,31
1580059449,102,34
1580061385,29,5
1580063288,23,7
1580065222,123,1
1580067168,23,4
1580069073,55,1
1580070970,39,2
1580072920,66,3
1580074811,60,6
1580076730,154,5
1580078972,145,4
1580080819,6,1
1580082726,12,5
1580084651,19,1
1580086580,18,7
1580088489,16,2
1580090453,24,2
1580092345,20,1
1580094511,26,12
1580096430,22,13
1580098336,45,0
1580100261,35,2
1580102196,11,4
1580104094,5,1
1580106018,20,2
1580107925,55,4
1580109853,12,4
1580111791,24,4
1580113688,24,3
1580115628,20,6
1580117546,29,4
1580119713,18,5
1580121615,15,6
1580123536,11,10
1580125465,60,127
1580127390,33,233
1580129535,32,49
1580131452,33,22
1580133387,45,114
1580135290,45,64
1580138189,69,43
1580140092,50,23
1580142026,33,14
1580143928,32,33
1580145848,41,101
1580147781,48,30
1580149687,28,23
1580151667,26,114
1580153549,26,26
1580155719,29,70
1580157612,22,28
1580159557,14,67
1580161452,37,66
1580163398,16,132
1580165307,24,132
1580167211,31,12
1580169143,20,11
1580171050,18,22
1580172985,29,25
1580174886,16,13
1580177775,2,29
1580179719,3,28
1580181612,4,24
1580183531,5,18
1580185467,1,79
1580187372,4,15
1580189291,3,12
1580191268,4,7
1580193136,3,17
1580195324,6,15
1580197217,2,13
1580199151,15,30
1580201052,11,35
1580202980,22,23
1580204908,63,34
1580206824,3,22
1580208732,2,13
1580210668,4,17
1580212575,2,68
1580214491,2,25
1580216476,3,24
1580218343,6,38
1580220511,4,36
1580222430,6,48
1580224588,6,46
1580226761,8,53
1580228660,552,28
1580230586,744,41
1580232516,4,30
1580235385,4,58
1580237292,3,25
1580239226,5,20
1580241127,3,31
1580243049,5,12
1580245001,6,28
1580246891,7,11
1580248843,54,39
1580250750,14,14
1580252673,1,27
1580254571,1,31
1580256512,2,10
1580258411,3,28
1580260333,4,21
1580262264,8,4
1580264171,2,4
1580266093,5,2
1580268021,5,6
1580269931,3,17
1580271853,5,4
1580273795,6,2
1580275689,6,3
1580278570,14,4
1580280491,2,0
1580282419,4,0
1580284339,3,5
1580286255,5,9
1580288167,5,1
1580290089,4,2
1580292054,3,11
1580293942,7,78
1580296110,6,20
1580298015,2,3
1580299934,4,5
1580301862,3,3
1580303780,1,5
1580305708,0,3
1580307606,2,5
1580309533,3,4
1580311464,3,4
1580313375,13,6
1580315286,4,684
1580318178,3,638
1580320107,7,5
1580322010,4,10
1580323932,4,11
1580325876,2,8
1580327773,6,6
1580329701,4,10
1580331641,2,5
1580333536,7,6
1580335702,4,72
1580337613,5,27
1580339548,10,3
1580341450,93,4
1580343619,22,6
1580345527,1,7
1580347463,3,3
1580349368,4,4
1580351290,5,5
1580354172,8,8
1580356104,8,7
1580358007,5,4
1580359925,8,5
1580361863,1,4
1580363767,5,7
1580365933,7,7
1580368101,1,5
1580370011,30,3
1580371946,4,6
1580373846,6,6
1580375789,3,1
1580377721,1,2
1580379606,3,1
1580381528,10,5
1580383462,11,3
1580385368,442,5
1580387301,355,5
1580390186,889,3
1580392102,600,0
1580394023,496,2
1580395926,369,1
1580397864,342,2
1580399768,342,9
1580401687,332,3
1580404577,701,5
1580406748,659,2
1580408648,491,2
1580410567,639,2
1580412486,465,2
1580415373,843,6
1580417294,412,0
1580419223,378,3
1580421131,382,1
1580423063,252,3
1580424970,3,4
1580426885,6,7
1580429769,2,32
1580431694,5,1
1580433617,2,2
1580435527,3,0
1580437459,3,5
1580439372,1,2
1580441291,4,2
1580444171,5,8
1580446102,3,4
1580448010,3,1
1580449925,4,1
1580451735,6,4
1580453786,2,1
1580455694,0,28
1580458574,4,8
1580460757,4,6
1580462650,2,4
1580464584,4,1
1580466492,335,4
1580468463,422,10
1580470351,399,4
1580472517,433,3
1580474414,449,3
1580476362,291,6
1580478255,1,4
1580480174,2,4
1580482108,5,4
1580484011,4,1
1580485933,2,4
1580487871,7,0
1580489812,5,6
1580492897,5,4
1580494814,6,2
1580496750,5,3
1580498651,0,5
1580500586,2,4
1580502488,4,7
1580505372,4,5
1580507293,1,4
1580509240,1,17
1580511126,5,434
1580513047,3,226
1580514980,3,524
1580516889,3,489
1580519773,4,743
1580521938,7,483
1580523852,3,322
1580525782,6,367
1580527691,5,278
1580529651,4,393
1580531536,11,420
1580534410,77,765
1580536326,4,466
1580538262,5,473
1580540175,15,626
1580542100,22,502
1580544985,30,713
1580546890,42,340
1580548818,19,345
1580550728,25,315
1580552663,35,457
1580554569,20,438
1580556488,9,418
1580559400,15,595
1580561289,18,432
1580563230,24,200
1580565129,7,4
1580567059,5,1
1580568986,9,6
1580570887,42,6
1580572887,9,4
1580574746,3,9
1580576915,9,5
1580578813,14,7
1580580868,17,10
1580582670,5,2
1580584573,5,3
1580586495,4,1
1580588411,6,7
1580590334,6,4
1580592253,9,6
1580594174,6,1
1580596088,12,3
1580598087,23,2
1580599939,5,6
1580602101,7,5
1580604011,7,3
1580605944,9,4
1580607853,10,7
1580609773,7,1
1580611703,8,3
1580613612,7,1
1580615532,8,4
1580617468,3,6
1580619369,30,9
1580621287,40,61
1580623262,6,3
1580625131,9,4
1580627304,4,4
1580629215,56,5
1580631186,61,9
1580633059,7,57
1580634977,1,4
1580636917,7,6
1580638810,7,2
1580640745,6,2
1580642679,3,11
1580644570,2,6
1580646490,6,6
1580649622,6,5
1580651532,4,4
1580653471,36,3
1580655371,21,7
1580657297,10,37
1580659263,2,6
1580661139,8,0
1580663136,3,6
1580664975,4,5
1580666920,4,3
1580668824,226,3
1580670746,178,3
1580672669,28,0
1580674588,15,7
1580676738,38,3
1580678654,18,3
1580680607,8,4
1580682491,3,5
1580684479,11,11
1580686342,14,5
1580689223,93,3
1580691127,8,6
1580693067,17,3
1580694969,19,2
1580696890,4,0
1580698880,11,3
1580700753,41,3
1580702672,51,5
1580704583,144,6
1580706525,126,9
1580708413,3,4
1580710334,5,2
1580712259,5,7
1580714179,2,3
1580716113,4,84
1580718008,8,26
1580719930,7,8
1580721862,3,20
1580723772,20,4
1580725687,2,5
1580728573,5,5
1580730508,4,2
1580732411,2,5
1580734343,5,4
1580736266,20,5
1580738171,7,20
1580740089,21,9
1580743470,11,29
1580745369,7,6
1580747292,7,15
1580750173,82,8
1580752107,31,9
1580754008,8,88
1580755954,7,322
1580757870,3,68
1580759770,3,5
1580761689,3,45
1580763656,4,9
1580765532,4,20
1580767704,5,5
1580769611,3,7
1580771537,9,7
1580773478,8,108
1580775615,20,7
1580777540,4,8
1580779478,2,15
1580781468,4,23
1580783349,3,5
1580785337,4,11
1580787167,5,42
1580789063,11,50
1580790968,5,144
1580793165,1,132
1580795049,10,3
1580796974,3,3
1580798891,5,6
1580800830,5,1
1580802736,5,5
1580804653,10,13
1580806582,16,7
1580808489,11,3
1580810444,5,6
1580812451,6,4
1580814267,3,6
