DateTime,Entries,UniqueIPs
1580386321,2611,2650
1580386921,2624,2663
1580387521,2627,2667
1580388721,2627,2667
1580389321,2631,2671
1580389921,2640,2680
1580390521,2641,2681
1580391121,2636,2676
1580391722,2637,2676
1580392921,2637,2676
1580394122,2640,2679
1580394721,2643,2682
1580395321,2644,2682
1580396522,2647,2685
1580397121,2634,2673
1580397721,2638,2677
1580398322,2640,2680
1580398921,2635,2675
1580400121,2655,2695
1580401321,2652,2690
1580402522,2652,2691
1580404321,2659,2698
1580404921,2679,2718
1580405521,2678,2717
1580406721,2678,2715
1580407321,2691,2728
1580407921,2693,2730
1580408521,2702,2739
1580409121,2711,2748
1580409722,2699,2744
1580410921,2697,2742
1580412121,2701,2746
1580412722,2710,2755
1580413321,2707,2752
1580414522,2720,2765
1580415121,2726,2771
1580415721,2733,2778
1580416921,2724,2769
1580417521,2737,2785
1580418121,2737,2785
1580419921,2743,2791
1580420521,2744,2793
1580422321,2745,2790
1580422922,2764,2810
1580423522,2767,2816
1580424721,2764,2814
1580425321,2762,2811
1580425921,2756,2805
1580427122,2758,2807
1580427721,2770,2819
1580428321,2766,2815
1580430121,2764,2813
1580430721,2764,2813
1580431921,2736,2785
1580432521,2745,2794
1580433122,2747,2796
1580433721,2761,2810
1580434322,2757,2806
1580435521,2756,2807
1580436121,2762,2813
1580436721,2760,2812
1580437921,2761,2812
1580438521,2769,2820
1580439722,2766,2818
1580440321,2764,2816
1580440921,2775,2827
1580442121,2773,2824
1580443322,2771,2822
1580443921,2759,2810
1580444521,2771,2823
1580445721,2776,2829
1580446922,2742,2793
1580448121,2742,2793
1580448721,2748,2799
1580449921,2738,2788
1580450521,2745,2795
1580451722,2724,2773
1580452322,2726,2775
1580454121,2734,2783
1580455321,2714,2763
1580456521,2717,2766
1580457721,2723,2776
1580458321,2732,2785
1580458922,2746,2801
1580460121,2744,2798
1580460721,2746,2800
1580461922,2746,2800
1580463721,2745,2799
1580464321,2735,2789
1580465521,2742,2796
1580466122,2732,2786
1580467921,2725,2779
1580468522,2723,2777
1580469122,2729,2783
1580469722,2712,2766
1580470322,2696,2750
1580470921,2697,2754
1580472121,2698,2755
1580472721,2690,2747
1580473321,2673,2730
1580473922,2680,2737
1580474521,2682,2739
1580475121,2677,2734
1580475722,2676,2732
1580476321,2674,2728
1580477521,2657,2711
1580478121,2664,2718
1580479321,2664,2716
1580479921,2664,2715
1580481121,2661,2712
1580481721,2655,2704
1580482321,2666,2717
1580482921,2669,2720
1580483521,2673,2724
1580484122,2666,2716
1580484721,2663,2712
1580485321,2665,2714
1580485921,2658,2707
1580486522,2660,2709
1580487121,2633,2682
1580487721,2638,2687
1580488321,2634,2683
1580489521,2626,2675
1580490121,2627,2676
1580490721,2621,2671
1580491321,2621,2671
1580491921,2629,2679
1580492521,2621,2671
1580493721,2613,2662
1580494921,2597,2646
1580496121,2591,2639
1580497322,2596,2644
1580497922,2588,2639
1580498522,2599,2650
1580499721,2598,2648
1580500922,2598,2648
1580502121,2580,2626
1580502721,2584,2632
1580503322,2590,2639
1580504521,2578,2625
1580505122,2583,2630
1580505721,2575,2622
1580506322,2557,2602
1580507521,2569,2615
1580508121,2578,2624
1580509321,2579,2625
1580509922,2558,2602
1580511721,2562,2606
1580512921,2565,2609
1580513521,2559,2601
1580514121,2544,2585
1580515321,2560,2602
1580516522,2557,2599
1580517121,2570,2612
1580517721,2575,2617
1580518321,2578,2620
1580520121,2572,2614
1580521322,2567,2609
1580521921,2577,2619
1580522521,2573,2614
1580523721,2568,2609
1580524921,2577,2617
1580526122,2563,2602
1580526721,2560,2599
1580527922,2563,2603
1580528521,2565,2605
1580529721,2580,2619
1580530321,2573,2612
1580531521,2574,2609
1580532121,2576,2611
1580532721,2581,2616
1580533921,2581,2615
1580534521,2590,2624
1580535722,2599,2633
1580537521,2577,2611
1580538122,2582,2616
1580539321,2575,2608
1580540521,2583,2616
1580541722,2585,2618
1580542921,2611,2644
1580543522,2600,2631
1580544122,2605,2636
1580545321,2567,2597
1580546521,2567,2599
1580547121,2561,2592
1580547721,2573,2605
1580548921,2566,2597
1580550121,2586,2618
1580550722,2589,2620
1580551322,2593,2625
1580551922,2584,2616
1580553121,2590,2623
1580553721,2604,2637
1580554321,2610,2643
1580554921,2607,2636
1580555522,2609,2638
1580556121,2599,2628
1580557321,2592,2621
1580557921,2595,2624
1580558521,2597,2626
1580559121,2595,2624
1580559721,2599,2628
1580560321,2590,2618
1580560921,2584,2612
1580561521,2578,2606
1580562721,2583,2611
1580563321,2580,2608
1580563921,2583,2611
1580565121,2586,2614
1580565721,2587,2615
1580566921,2603,2632
1580568122,2605,2634
1580569321,2596,2625
1580569921,2597,2626
1580570521,2611,2640
1580571121,2609,2638
1580571721,2608,2637
1580572921,2615,2642
1580573521,2621,2649
1580574122,2622,2651
1580575321,2622,2651
1580575921,2618,2645
1580577121,2619,2646
1580577721,2612,2638
1580578321,2618,2644
1580578921,2620,2646
1580580121,2616,2642
1580580721,2608,2633
1580581321,2613,2638
1580581921,2606,2630
1580582521,2601,2624
1580583121,2609,2632
1580583721,2600,2623
1580584321,2603,2626
1580584921,2599,2622
1580585521,2588,2612
1580586721,2618,2641
1580587321,2620,2643
1580587921,2630,2654
1580588521,2639,2664
1580589121,2632,2657
1580589721,2629,2655
1580590922,2624,2650
1580591521,2629,2655
1580592121,2628,2654
1580592722,2635,2661
1580593322,2643,2669
1580593921,2632,2659
1580595121,2623,2650
1580595721,2639,2666
1580596321,2639,2666
1580596921,2642,2669
1580597522,2622,2648
1580598121,2624,2650
1580599321,2624,2650
1580599921,2625,2651
1580600521,2620,2646
1580601121,2622,2648
1580601721,2628,2654
1580602321,2626,2654
1580602922,2629,2657
1580604121,2611,2638
1580606521,2587,2613
1580607121,2598,2624
1580607721,2589,2616
1580608921,2597,2624
1580610121,2597,2624
1580611321,2578,2606
1580612521,2593,2621
1580613721,2589,2617
1580614921,2579,2607
1580616121,2584,2612
1580617322,2574,2601
1580617921,2587,2614
1580618521,2582,2609
1580619721,2581,2608
1580620921,2559,2585
1580622121,2573,2599
1580623322,2570,2596
1580623921,2571,2597
1580625122,2580,2606
1580625721,2595,2622
1580626322,2589,2616
1580626922,2594,2621
1580628121,2606,2634
1580628721,2609,2637
1580629322,2587,2615
1580630521,2578,2608
1580631721,2594,2626
1580632921,2586,2615
1580634121,2571,2599
1580634721,2574,2602
1580635321,2570,2595
1580636521,2565,2591
1580637121,2566,2592
1580638321,2551,2576
1580638921,2552,2577
1580640121,2562,2588
1580640721,2557,2584
1580641322,2543,2571
1580642522,2535,2566
1580643121,2548,2579
1580643721,2549,2580
1580644322,2555,2586
1580644921,2552,2583
1580645522,2556,2587
1580646121,2547,2579
1580646722,2555,2587
1580647321,2558,2588
1580648521,2562,2592
1580649121,2564,2594
1580649721,2565,2595
1580650321,2569,2599
1580650921,2562,2592
1580651521,2565,2595
1580652121,2552,2582
1580653321,2550,2580
1580653921,2554,2584
1580655121,2547,2578
1580655722,2550,2581
1580656921,2550,2583
1580658122,2539,2573
1580658721,2542,2576
1580659321,2544,2578
1580659921,2535,2569
1580660522,2538,2572
1580661121,2527,2561
1580661721,2530,2564
1580662921,2532,2569
1580663521,2532,2569
1580664121,2537,2574
1580664721,2542,2578
1580665321,2533,2569
1580665921,2534,2570
1580666521,2539,2576
1580667121,2538,2575
1580667722,2544,2581
1580668921,2554,2591
1580669521,2546,2583
1580670121,2549,2586
1580671321,2538,2573
1580672521,2536,2570
1580673122,2497,2531
1580674321,2489,2523
1580674921,2483,2517
1580675521,2478,2512
1580676121,2482,2516
1580676721,2483,2517
1580677321,2486,2520
