DateTime,AddedIPs,RemovedIPs
1580125321,13,19
1580126447,9,4
1580128086,0,1088
1580128947,1107,0
1580130853,5,10
1580131692,6,0
1580132858,5,4
1580134219,8,7
1580135289,12,0
1580136974,13,9
1580138053,9,7
1580138895,13,0
1580140204,16,17
1580141411,12,13
1580142614,9,7
1580144109,13,2
1580145307,0,1152
1580146093,1168,0
1580146938,6,8
1580148095,13,9
1580149212,14,0
1580150410,9,7
1580151635,14,5
1580152814,14,0
1580154312,9,8
1580155819,13,9
1580157607,0,1214
1580158573,1225,0
1580159711,12,4
1580160841,15,5
1580161331,1,4
1580162528,0,1240
1580164090,1268,0
1580165770,19,6
1580166851,13,6
1580167689,6,0
1580169311,5,10
1580170450,8,4
1580172141,16,3
1580173441,14,3
1580175012,6,11
1580175732,5,3
1580176570,8,2
1580177652,11,8
1580178489,5,0
1580179333,6,14
1580181253,19,5
1580182089,11,0
1580183772,27,8
1580184850,11,17
1580186111,11,7
1580187632,5,5
1580189293,11,2
1580190974,10,9
1580192049,0,1372
1580193614,1372,0
1580195412,11,6
1580195651,2,0
1580196493,1,0
1580198110,7,7
1580199215,2,5
1580200930,3,14
1580202213,2,3
1580203485,6,1
1580204713,8,12
1580205875,6,4
1580207685,8,5
1580208914,11,3
1580210114,3,5
1580210891,8,0
1580212571,11,5
1580212842,2,2
1580214013,7,1
1580215128,4,10
1580216668,5,3
1580217254,5,0
1580218510,10,15
1580219792,6,2
1580220850,6,3
1580222413,13,1
1580224213,16,10
1580226131,16,18
1580227400,9,3
1580229014,7,11
1580229731,10,3
1580231420,17,3
1580232489,9,0
1580233896,9,10
1580235011,10,1
1580236212,10,3
1580237769,11,3
1580238853,5,5
1580239690,13,0
1580240531,2,13
1580242448,9,6
1580243289,6,0
1580244642,13,9
1580246053,18,3
1580247613,17,4
1580248570,10,0
1580249712,9,1
1580250857,10,8
1580252169,10,0
1580253284,8,2
1580254655,10,3
1580256441,15,6
1580256850,4,0
1580258110,20,6
1580259309,6,3
1580260449,8,3
1580261292,7,0
1580262969,10,9
1580264050,8,1
1580265312,6,2
1580266512,6,3
1580267713,4,2
1580268912,58,3
1580270109,10,39
1580271250,9,6
1580272095,5,1
1580272931,5,6
1580274850,13,2
1580276530,16,4
1580277372,11,0
1580278450,10,8
1580279578,11,4
1580280708,9,4
1580281811,6,2
1580282933,5,0
1580284058,7,10
1580285328,15,6
1580286490,4,2
1580287334,8,10
1580288173,6,2
1580289313,8,5
1580290499,6,9
1580291709,7,2
1580292910,12,9
1580294533,5,8
1580295370,6,0
1580296453,11,8
1580297289,3,0
1580300050,15,17
1580301311,1,6
1580302465,5,4
1580303651,10,7
1580304493,2,0
1580305775,4,10
1580307251,6,1
1580308512,38,7
1580309714,9,22
1580310843,5,16
1580312314,8,17
1580313370,3,4
1580314454,11,8
1580315290,5,3
1580317820,16,27
1580319742,12,18
1580321650,16,9
1580322910,8,13
1580324492,7,10
1580325610,5,4
1580327109,6,9
1580328849,7,9
1580330530,6,17
1580332451,8,7
1580333291,2,0
1580334973,5,22
1580336049,3,12
1580336891,3,1
1580338578,6,17
1580339712,4,8
1580341331,4,20
1580343011,7,16
1580344179,7,5
1580345441,6,2
1580346613,1,13
1580347814,2,12
1580349013,4,9
1580350219,5,10
1580351412,4,12
1580354052,5,12
1580356570,11,19
1580358505,7,9
1580359699,3,16
1580361019,4,10
1580362933,5,17
1580364612,1,5
1580365869,4,11
1580367290,3,2
1580368449,7,10
1580369293,6,0
1580370509,13,9
1580371821,10,3
1580373014,9,4
1580375650,18,15
1580376492,10,0
1580377331,10,13
1580379249,28,9
1580380449,16,10
1580381605,16,8
1580382911,12,5
1580384533,30,14
1580386212,14,8
1580387402,17,9
1580388971,15,5
1580390052,12,9
1580390891,7,0
1580392213,12,16
1580393419,9,11
1580395333,6,22
1580397250,4,8
1580398932,9,16
1580400030,3,19
1580401690,12,2
1580402530,1,15
1580404200,7,10
1580405411,5,18
1580407811,7,13
1580409732,5,16
1580411650,5,9
1580412492,2,0
1580415018,15,32
1580416210,4,25
1580417409,3,4
1580418613,4,12
1580419691,6,0
1580422211,10,40
1580422449,1,0
1580423296,5,0
1580424502,4,12
1580426051,8,12
1580427310,3,28
1580428569,4,7
1580429652,6,8
1580431252,7,29
1580432431,5,10
1580433611,6,0
1580434930,10,24
1580436849,7,14
1580438412,5,17
1580439371,4,0
1580440452,6,14
1580442133,70,20
1580442971,7,19
1580444112,2,15
1580445312,4,16
1580446510,6,4
1580447652,7,22
1580448492,4,0
1580449333,6,25
1580450177,2,0
1580451252,4,12
1580452511,7,13
1580454611,8,26
1580455814,7,17
1580457633,7,27
1580458452,5,1
1580460013,10,29
1580461166,6,16
1580462412,6,2
1580463732,3,14
1580464573,3,1
1580465711,2,13
1580467331,4,34
1580469251,6,16
1580470091,5,2
1580471432,6,28
1580472856,3,12
1580474534,9,27
1580476213,11,8
1580477412,3,6
1580478563,4,6
1580479676,7,18
1580481312,8,10
1580482573,9,4
1580483716,6,16
1580485331,7,24
1580486170,4,0
1580487312,12,12
1580488089,5,1
1580489773,8,24
1580490851,1,19
1580491688,3,0
1580492532,0,35
1580494210,7,6
1580496130,14,10
1580496968,4,1
1580497231,2,4
1580498365,5,0
1580499729,9,6
1580501652,11,6
1580503138,10,6
1580505011,17,1
1580506213,5,8
1580507410,7,5
1580508612,6,1
1580509792,5,4
1580511369,6,3
1580512512,5,5
1580513705,0,1162
1580514912,1169,0
1580516112,6,1
1580517734,6,9
1580519037,5,7
1580520308,4,1
1580521509,6,10
1580522639,3,1
1580524214,6,5
1580524930,4,3
1580526612,5,1
1580527810,7,8
1580529309,42,0
1580530513,3,15
1580531292,2,3
1580532799,6,1
1580534051,7,1
1580535740,8,5
1580536571,3,0
1580537650,4,4
1580538492,7,1
1580539331,8,7
1580540528,6,11
1580542509,11,12
1580543712,3,3
1580544913,5,7
1580546412,9,33
1580547369,4,0
1580548448,3,18
1580549711,3,23
1580550909,5,7
1580552049,7,16
1580552890,4,0
1580553729,5,32
1580555419,8,12
1580556596,0,20
1580558040,6,8
1580559312,16,13
1580560529,22,19
1580561708,15,7
1580562906,0,1119
1580563689,1134,0
1580564531,5,11
1580566451,33,4
1580568012,16,9
1580569334,5,5
1580570052,12,0
1580572641,36,6
1580573650,12,5
1580575346,38,8
1580577250,17,2
1580578934,22,9
1580580610,21,0
1580581811,7,3
1580583310,10,2
1580584512,9,6
1580586130,23,15
1580587260,5,7
1580588401,9,0
1580589609,9,13
1580591649,24,5
1580592507,3,0
1580593763,7,17
1580595249,10,4
1580596090,6,0
1580596945,8,7
1580598852,14,11
1580600415,29,11
1580602211,17,7
1580603412,10,9
1580604610,9,2
1580606052,13,5
1580606889,10,1
1580607743,8,4
1580609053,1,5
1580610491,7,0
1580612453,23,22
1580614091,17,2
1580614941,37,8
1580616851,19,29
1580618543,23,12
1580620451,21,9
1580622147,15,6
1580622971,5,0
1580624049,14,10
1580625309,23,10
1580627412,20,12
1580628489,14,0
1580629328,0,1517
1580631019,1516,0
1580632214,8,6
1580633360,13,3
1580634611,8,7
1580635814,8,9
1580637371,14,4
1580638454,4,5
1580639953,13,13
1580641721,12,4
1580643309,16,4
1580644510,8,1
1580645713,14,4
1580646489,7,0
1580648171,11,14
1580649316,14,9
1580650095,2,0
1580651396,11,12
1580652852,8,12
1580654530,10,12
1580656452,6,7
1580658012,4,21
1580658974,6,0
1580660113,8,3
1580661309,12,7
1580663649,15,3
1580665468,21,19
1580667010,12,5
1580668211,4,13
1580668932,6,4
1580670367,7,7
1580671813,25,11
1580672530,7,4
1580673370,4,0
1580674449,12,9
1580675289,9,0
1580676972,5,23
1580678102,8,14
1580679612,9,14
1580681035,10,7
1580681650,5,0
1580682491,4,0
1580683686,2,25
1580685019,3,8
1580686214,7,7
1580688849,5,11
1580690529,5,12
1580692009,1,3
1580693290,6,0
1580694910,2,13
1580696064,2,7
1580697727,3,22
1580699652,2,10
1580700495,2,0
1580702157,22,10
1580703254,4,22
1580704089,3,1
1580705710,5,18
1580706850,4,11
1580708531,5,16
1580710078,5,12
1580711412,3,11
1580712129,0,2
1580712970,2,1
1580714054,4,8
1580714892,1,0
1580715729,4,14
1580717650,6,6
1580719164,6,9
1580721014,8,2
1580722811,0,1467
1580724399,1460,0
1580725689,8,0
1580726532,2,2
1580727370,5,1
1580728510,3,4
1580730132,3,20
1580732112,4,9
1580733311,1,12
1580734512,1,7
1580736492,2,19
1580737979,4,19
1580739251,1,7
1580740090,3,0
1580741342,7,18
1580742612,4,13
1580744531,3,22
1580745369,5,1
1580746450,4,14
1580747902,5,23
1580750051,12,11
1580751172,5,13
1580752326,3,5
1580753649,2,7
1580755331,5,16
1580756170,3,0
1580758094,9,5
1580760851,6,32
1580762411,51,16
1580764211,2,45
1580765414,4,16
1580766167,4,9
1580766970,1,0
1580768111,5,13
1580768890,2,1
1580769734,5,35
1580771420,1,19
1580773335,5,15
1580775266,14,8
1580776937,3,22
1580777770,4,3
1580778913,0,6
